,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_living15,sqft_lot15,grade_num,bed_bath_ratio,mean_price,id,zip_city,Waterfront
43,685000.0,3.0,1.0,1570.0,2280.0,2.0,1570.0,1580.0,2640.0,7.0,3.0,540296.5735055795,9270200160,1,0
44,309000.0,3.0,1.0,1280.0,9656.0,1.0,920.0,1340.0,8808.0,6.0,3.0,540296.5735055795,1432701230,0,0
45,488000.0,3.0,2.5,3160.0,13603.0,2.0,3160.0,3050.0,9232.0,8.0,1.2,540296.5735055795,8035350320,0,0
46,210490.0,3.0,1.0,990.0,8528.0,1.0,990.0,1228.0,8840.0,6.0,3.0,540296.5735055795,8945200830,0,0
47,785000.0,4.0,2.5,2290.0,13416.0,2.0,2290.0,2680.0,13685.0,9.0,1.6,540296.5735055795,4178300310,0,0
48,450000.0,3.0,1.75,1250.0,5963.0,1.0,1250.0,970.0,5100.0,7.0,1.7142857142857142,540296.5735055795,9215400105,0,0
50,228000.0,3.0,1.0,1190.0,9199.0,1.0,1190.0,1190.0,9364.0,7.0,3.0,540296.5735055795,5245600105,0,0
51,345000.0,5.0,2.5,3150.0,9134.0,1.0,1640.0,1990.0,9133.0,8.0,2.0,540296.5735055795,7231300125,0,0
52,600000.0,3.0,1.75,1410.0,4080.0,1.0,1000.0,1410.0,4080.0,7.0,1.7142857142857142,540296.5735055795,7518505990,1,0
53,585000.0,2.0,1.75,1980.0,8550.0,1.0,990.0,1480.0,6738.0,7.0,1.1428571428571428,540296.5735055795,3626039271,1,0
54,920000.0,5.0,2.25,2730.0,6000.0,1.5,2130.0,2730.0,6000.0,8.0,2.2222222222222223,540296.5735055795,4217401195,1,0
55,885000.0,4.0,2.5,2830.0,5000.0,2.0,2830.0,1950.0,5000.0,9.0,1.6,540296.5735055795,9822700295,1,0
56,292500.0,4.0,2.5,2250.0,4495.0,2.0,2250.0,2250.0,4500.0,7.0,1.6,540296.5735055795,9478500640,0,0
57,301000.0,3.0,2.5,2420.0,4750.0,2.0,2420.0,2690.0,4750.0,8.0,1.2,540296.5735055795,2799800710,0,0
58,951000.0,5.0,3.25,3250.0,14342.0,2.0,3250.0,2960.0,11044.0,8.0,1.5384615384615385,540296.5735055795,7922800400,0,0
59,430000.0,4.0,3.0,1850.0,9976.0,2.0,1850.0,2270.0,8542.0,8.0,1.3333333333333333,540296.5735055795,8079040320,0,0
60,650000.0,3.0,2.25,2150.0,21235.0,1.0,1590.0,2570.0,18900.0,8.0,1.3333333333333333,540296.5735055795,1516000055,0,0
61,289000.0,3.0,1.75,1260.0,8400.0,1.0,1260.0,1290.0,8750.0,7.0,1.7142857142857142,540296.5735055795,9558200045,0,0
62,505000.0,3.0,1.75,2519.0,8690.0,2.0,2519.0,2500.0,9500.0,8.0,1.7142857142857142,540296.5735055795,5072410070,0,0
63,549000.0,3.0,1.75,1540.0,1044.0,3.0,1540.0,1580.0,3090.0,8.0,1.7142857142857142,540296.5735055795,9528102996,0,0
64,425000.0,3.0,2.25,1660.0,6000.0,1.0,1110.0,1440.0,4080.0,7.0,1.3333333333333333,540296.5735055795,1189001180,1,0
65,317625.0,3.0,2.75,2770.0,3809.0,1.5,1770.0,1440.0,4000.0,7.0,1.0909090909090908,540296.5735055795,3253500160,1,0
66,975000.0,4.0,2.5,2720.0,11049.0,2.0,2720.0,2750.0,11049.0,10.0,1.6,540296.5735055795,3394100030,0,0
67,287000.0,4.0,2.5,2240.0,4648.0,2.0,2240.0,2221.0,4557.0,7.0,1.6,540296.5735055795,3717000160,0,0
68,204000.0,3.0,1.0,1000.0,12070.0,1.0,1000.0,1010.0,12635.0,7.0,3.0,540296.5735055795,1274500060,0,0
69,1330000.0,5.0,2.25,3200.0,20158.0,1.0,1600.0,3390.0,20158.0,8.0,2.2222222222222223,540296.5735055795,1802000060,0,0
71,325000.0,3.0,2.0,1260.0,5612.0,1.0,1260.0,1640.0,4745.0,7.0,1.5,540296.5735055795,1049000060,0,0
72,571000.0,4.0,2.0,2750.0,7807.0,1.5,2250.0,1510.0,7807.0,7.0,2.0,540296.5735055795,8820901275,1,0
73,360000.0,4.0,2.5,2380.0,5000.0,2.0,2380.0,2420.0,5000.0,8.0,1.6,540296.5735055795,5416510140,0,0
74,349000.0,3.0,1.75,1790.0,50529.0,1.0,1090.0,1940.0,50529.0,7.0,1.7142857142857142,540296.5735055795,3444100400,0,0
75,832500.0,4.0,4.0,3430.0,35102.0,2.0,2390.0,3240.0,35020.0,10.0,1.0,540296.5735055795,3276920270,0,0
76,380000.0,4.0,1.75,1760.0,7300.0,1.0,880.0,1680.0,7500.0,7.0,2.2857142857142856,540296.5735055795,4036801170,0,0
77,480000.0,3.0,1.0,1040.0,5060.0,1.0,1040.0,890.0,5060.0,7.0,3.0,540296.5735055795,2391600320,0,0
78,410000.0,3.0,1.0,1410.0,5060.0,1.0,910.0,1130.0,5693.0,7.0,3.0,540296.5735055795,6300000287,1,0
79,720000.0,4.0,2.5,3450.0,39683.0,2.0,3450.0,3350.0,39750.0,10.0,1.6,540296.5735055795,1531000030,0,0
80,390000.0,3.0,2.5,2350.0,5100.0,2.0,2350.0,2350.0,5363.0,8.0,1.2,540296.5735055795,5104520400,0,0
81,360000.0,4.0,2.5,1900.0,5889.0,2.0,1900.0,1870.0,6405.0,7.0,1.6,540296.5735055795,7437100340,0,0
82,355000.0,2.0,1.0,2020.0,6720.0,1.0,1010.0,1720.0,6720.0,7.0,2.0,540296.5735055795,9418400240,1,0
83,356000.0,3.0,1.5,1680.0,8712.0,1.0,1680.0,1850.0,8797.0,8.0,2.0,540296.5735055795,1523059105,0,0
84,315000.0,3.0,1.0,960.0,6634.0,1.0,960.0,1570.0,7203.0,6.0,3.0,540296.5735055795,1133000671,1,0
85,940000.0,3.0,1.5,2140.0,3600.0,2.0,1900.0,2020.0,4800.0,9.0,2.0,540296.5735055795,4232902595,1,0
86,305000.0,5.0,2.25,2660.0,8400.0,1.5,2660.0,1590.0,8165.0,7.0,2.2222222222222223,540296.5735055795,2599001200,0,0
87,461000.0,3.0,3.25,2770.0,6278.0,2.0,1980.0,1900.0,7349.0,9.0,0.9230769230769231,540296.5735055795,3342103156,0,0
88,215000.0,2.0,2.25,1610.0,2040.0,2.0,1610.0,1950.0,2025.0,7.0,0.8888888888888888,540296.5735055795,1332700270,0,0
89,335000.0,2.0,1.75,1030.0,1066.0,2.0,765.0,1030.0,1106.0,7.0,1.1428571428571428,540296.5735055795,3869900162,1,0
90,243500.0,4.0,2.5,1980.0,7403.0,2.0,1980.0,1980.0,7510.0,7.0,1.6,540296.5735055795,2791500270,0,0
91,1100000.0,5.0,2.75,3520.0,6353.0,2.0,3520.0,2520.0,6250.0,10.0,1.8181818181818181,540296.5735055795,5036300431,1,0
92,153000.0,3.0,1.0,1200.0,10500.0,1.0,1200.0,1350.0,10500.0,7.0,3.0,540296.5735055795,4168000060,0,0
93,430000.0,3.0,1.5,1580.0,5000.0,1.0,1290.0,1570.0,4500.0,8.0,2.0,540296.5735055795,6021501535,1,0
94,700000.0,3.0,1.5,1580.0,5000.0,1.0,1290.0,1570.0,4500.0,8.0,2.0,540296.5735055795,6021501535,1,0
95,905000.0,4.0,2.5,3300.0,10250.0,1.0,2390.0,1950.0,6045.0,7.0,1.6,540296.5735055795,1483300570,0,0
96,247500.0,3.0,1.75,1960.0,15681.0,1.0,1960.0,1750.0,15616.0,7.0,1.7142857142857142,540296.5735055795,3422049190,0,0
97,199000.0,4.0,1.5,1160.0,6400.0,1.0,1160.0,1160.0,6400.0,7.0,2.6666666666666665,540296.5735055795,1099611230,0,0
99,437500.0,3.0,2.5,2320.0,36847.0,2.0,2320.0,2550.0,35065.0,9.0,1.2,540296.5735055795,7338200240,0,0
100,850830.0,3.0,2.5,2070.0,13241.0,1.5,1270.0,2200.0,4500.0,9.0,1.2,540296.5735055795,1952200240,1,0
101,555000.0,3.0,2.0,1980.0,3478.0,1.5,1440.0,1610.0,3478.0,7.0,1.5,540296.5735055795,5200100125,1,0
102,699950.0,3.0,2.25,2190.0,107593.0,2.0,2190.0,2570.0,47777.0,8.0,1.3333333333333333,540296.5735055795,7214720075,0,0
103,1090000.0,3.0,2.5,2920.0,8113.0,2.0,2920.0,2370.0,8113.0,8.0,1.2,540296.5735055795,2450000295,0,0
104,290000.0,3.0,1.0,1210.0,33919.0,1.0,1210.0,1640.0,14910.0,7.0,3.0,540296.5735055795,6197800045,0,0
105,375000.0,3.0,2.5,2340.0,10005.0,1.0,1460.0,2250.0,8162.0,8.0,1.2,540296.5735055795,1328310370,0,0
106,460000.0,3.0,1.0,1670.0,4005.0,1.5,1170.0,1240.0,4005.0,7.0,3.0,540296.5735055795,546000875,1,0
107,188500.0,2.0,1.75,1240.0,2493.0,1.0,1240.0,1270.0,4966.0,8.0,1.1428571428571428,540296.5735055795,3530510041,0,0
108,680000.0,4.0,2.5,3140.0,28037.0,2.0,3140.0,2990.0,35001.0,10.0,1.6,540296.5735055795,1853000400,0,0
109,470000.0,5.0,1.75,2030.0,12342.0,2.0,2030.0,2500.0,9433.0,7.0,2.857142857142857,540296.5735055795,3134100116,0,0
110,597750.0,4.0,2.5,2310.0,9624.0,2.0,2310.0,1940.0,9636.0,8.0,1.6,540296.5735055795,9545230140,0,0
111,570000.0,3.0,1.75,1260.0,3328.0,1.0,700.0,1380.0,3536.0,6.0,1.7142857142857142,540296.5735055795,3362400511,1,0
112,272500.0,3.0,1.75,1540.0,12600.0,1.0,1160.0,1540.0,11656.0,7.0,1.7142857142857142,540296.5735055795,2525310310,0,0
113,329950.0,3.0,1.75,2080.0,5969.0,1.0,1080.0,2090.0,5500.0,7.0,1.7142857142857142,540296.5735055795,6126500060,1,0
114,480000.0,4.0,2.5,3230.0,16171.0,2.0,2520.0,2640.0,8517.0,9.0,1.6,540296.5735055795,8961960160,0,0
115,740500.0,3.0,3.5,4380.0,6350.0,2.0,2780.0,1830.0,6350.0,8.0,0.8571428571428571,540296.5735055795,3626039325,1,0
116,518500.0,3.0,3.5,1590.0,1102.0,3.0,1590.0,1620.0,3166.0,8.0,0.8571428571428571,540296.5735055795,3362400431,1,0
117,205425.0,2.0,1.0,880.0,6780.0,1.0,880.0,1190.0,6780.0,6.0,2.0,540296.5735055795,4060000240,1,0
118,171800.0,4.0,2.0,1570.0,9600.0,1.0,1570.0,1880.0,9000.0,6.0,2.0,540296.5735055795,3454800060,0,0
120,660000.0,3.0,2.5,2400.0,6474.0,1.0,1560.0,2340.0,10856.0,8.0,1.2,540296.5735055795,7278700070,1,0
121,391500.0,3.0,2.0,1450.0,9132.0,1.0,1450.0,1580.0,9104.0,7.0,1.5,540296.5735055795,6675500070,0,0
122,395000.0,2.0,1.0,770.0,6000.0,1.0,770.0,1710.0,6000.0,6.0,2.0,540296.5735055795,3626039187,1,0
123,445000.0,4.0,1.75,2100.0,4400.0,1.5,1720.0,1850.0,4400.0,7.0,2.2857142857142856,540296.5735055795,3524049083,1,0
124,770000.0,3.0,2.25,2910.0,10204.0,2.0,2910.0,2700.0,13992.0,9.0,1.3333333333333333,540296.5735055795,3275860240,0,0
125,1450000.0,4.0,2.75,2750.0,17789.0,1.5,1980.0,3060.0,11275.0,8.0,1.4545454545454546,540296.5735055795,4389200955,0,0
126,445000.0,3.0,2.25,2100.0,8201.0,1.0,1620.0,2660.0,8712.0,8.0,1.3333333333333333,540296.5735055795,4058801670,1,0
127,260000.0,4.0,2.25,2160.0,8811.0,1.0,1360.0,2090.0,8400.0,8.0,1.7777777777777777,540296.5735055795,8732020310,0,0
128,822500.0,5.0,3.5,2320.0,4960.0,2.0,1720.0,1700.0,4960.0,7.0,1.4285714285714286,540296.5735055795,2331300505,1,0
129,430000.0,4.0,2.5,2070.0,4310.0,2.0,2070.0,1970.0,3748.0,7.0,1.6,540296.5735055795,7853210060,0,0
130,212000.0,3.0,1.75,1060.0,7875.0,1.0,1060.0,1420.0,7680.0,7.0,1.7142857142857142,540296.5735055795,3668000070,0,0
131,660500.0,4.0,2.25,2010.0,9603.0,1.0,1440.0,2060.0,9793.0,8.0,1.7777777777777777,540296.5735055795,9545240070,0,0
133,453246.0,3.0,2.5,2010.0,2287.0,2.0,1390.0,1690.0,1662.0,8.0,1.2,540296.5735055795,8929000270,0,0
134,675000.0,4.0,3.5,2140.0,2278.0,3.0,2140.0,1540.0,2285.0,9.0,1.1428571428571428,540296.5735055795,2767602356,1,0
135,199000.0,3.0,1.75,1320.0,17390.0,1.0,1320.0,1550.0,19265.0,7.0,1.7142857142857142,540296.5735055795,921049315,0,0
136,220000.0,4.0,1.75,2020.0,7840.0,1.0,1010.0,1750.0,8140.0,7.0,2.2857142857142856,540296.5735055795,3655000070,0,0
137,452000.0,4.0,2.25,2590.0,10002.0,1.0,1340.0,1550.0,10436.0,8.0,1.7777777777777777,540296.5735055795,4027700812,0,0
138,382500.0,2.0,1.0,1190.0,4440.0,1.0,1190.0,1060.0,5715.0,6.0,2.0,540296.5735055795,3992700335,1,0
139,519950.0,3.0,2.25,1170.0,1249.0,3.0,1170.0,1350.0,1310.0,8.0,1.3333333333333333,540296.5735055795,2767603505,1,0
140,665000.0,2.0,1.0,1110.0,3200.0,1.0,1110.0,1170.0,3600.0,7.0,2.0,540296.5735055795,4232901525,1,0
141,527700.0,5.0,2.5,2820.0,9375.0,1.0,1550.0,2820.0,9375.0,8.0,2.0,540296.5735055795,1777500060,0,0
142,205000.0,3.0,1.0,1610.0,8579.0,1.0,1010.0,1610.0,8579.0,7.0,3.0,540296.5735055795,1432900240,0,0
143,420000.0,3.0,1.0,1060.0,8097.0,1.0,940.0,1560.0,7940.0,7.0,3.0,540296.5735055795,6140100875,1,0
144,500000.0,4.0,2.25,2030.0,8517.0,1.0,1380.0,2230.0,8824.0,8.0,1.7777777777777777,540296.5735055795,6071600370,0,0
148,258000.0,5.0,2.0,2260.0,12500.0,1.0,1130.0,1360.0,18000.0,8.0,2.5,540296.5735055795,8075400570,0,0
149,511000.0,3.0,1.0,1430.0,3455.0,1.0,980.0,1450.0,4599.0,7.0,3.0,540296.5735055795,1994200024,1,0
150,532170.0,3.0,2.0,1360.0,3090.0,2.0,1360.0,1500.0,3090.0,8.0,1.5,540296.5735055795,3362900810,1,0
151,560000.0,3.0,1.0,1110.0,5000.0,1.5,1110.0,1420.0,5000.0,7.0,3.0,540296.5735055795,1324300398,1,0
152,282950.0,3.0,1.0,1250.0,8200.0,1.0,1250.0,1680.0,8633.0,7.0,3.0,540296.5735055795,537000445,0,0
154,350000.0,1.0,1.0,700.0,5100.0,1.0,700.0,1010.0,5100.0,7.0,1.0,540296.5735055795,7920100045,0,0
155,215000.0,3.0,1.0,1180.0,7669.0,1.0,1180.0,1190.0,7669.0,7.0,3.0,540296.5735055795,8960000030,0,0
156,650000.0,5.0,3.5,3960.0,25245.0,2.0,2500.0,2640.0,13675.0,9.0,1.4285714285714286,540296.5735055795,6388930390,0,0
157,320000.0,4.0,2.75,2640.0,7500.0,1.0,1620.0,1980.0,7875.0,8.0,1.4545454545454546,540296.5735055795,8731900200,0,0
158,247000.0,3.0,2.0,1270.0,7198.0,1.5,1270.0,1160.0,7198.0,7.0,1.5,540296.5735055795,8029200135,0,0
159,320000.0,4.0,1.75,1760.0,11180.0,1.0,1760.0,1730.0,11180.0,8.0,2.2857142857142856,540296.5735055795,1081200350,0,0
160,255000.0,5.0,2.25,2060.0,8632.0,1.0,1030.0,1010.0,11680.0,7.0,2.2222222222222223,540296.5735055795,84000105,1,0
161,438000.0,3.0,1.75,1780.0,9660.0,1.0,1780.0,1200.0,9660.0,7.0,1.7142857142857142,540296.5735055795,3756500060,0,0
162,900000.0,3.0,2.5,3400.0,16603.0,2.0,3400.0,3400.0,12601.0,10.0,1.2,540296.5735055795,7215720160,0,0
163,441000.0,3.0,2.75,1910.0,7280.0,1.0,1160.0,1710.0,8152.0,7.0,1.0909090909090908,540296.5735055795,3574800520,0,0
164,420000.0,3.0,2.0,2020.0,38332.0,1.0,1010.0,2110.0,36590.0,7.0,1.5,540296.5735055795,2617300160,0,0
165,370000.0,3.0,1.75,1580.0,7000.0,1.0,1180.0,1640.0,7500.0,7.0,1.7142857142857142,540296.5735055795,2558660270,0,0
166,269950.0,2.0,1.75,1340.0,7250.0,1.0,700.0,1830.0,9750.0,5.0,1.1428571428571428,540296.5735055795,2009000370,0,0
167,807100.0,4.0,2.5,2680.0,4499.0,2.0,2680.0,2920.0,4500.0,9.0,1.6,540296.5735055795,1836980160,0,0
168,653000.0,3.0,2.5,2680.0,9750.0,1.0,1610.0,2480.0,8750.0,8.0,1.2,540296.5735055795,3261020370,0,0
169,371500.0,3.0,2.0,1370.0,8336.0,1.0,1370.0,1770.0,7288.0,7.0,1.5,540296.5735055795,1755700060,1,0
170,284000.0,3.0,1.75,1560.0,21000.0,1.0,1560.0,1070.0,7920.0,7.0,1.7142857142857142,540296.5735055795,4330600435,0,0
171,272000.0,3.0,1.75,2160.0,7140.0,1.0,1670.0,1930.0,7350.0,7.0,1.7142857142857142,540296.5735055795,9542800700,0,0
172,313000.0,3.0,1.5,1340.0,7912.0,1.5,1340.0,1480.0,7940.0,7.0,2.0,540296.5735055795,1999700045,1,0
173,917500.0,4.0,2.5,3880.0,35003.0,2.0,2570.0,3740.0,35230.0,10.0,1.6,540296.5735055795,1762600070,0,0
174,673000.0,4.0,2.25,2590.0,8190.0,2.0,2590.0,2260.0,8335.0,8.0,1.7777777777777777,540296.5735055795,1687900520,0,0
175,425000.0,3.0,2.5,1120.0,1100.0,2.0,820.0,1590.0,1795.0,8.0,1.2,540296.5735055795,7234600798,1,0
176,399950.0,5.0,2.75,1970.0,5400.0,1.0,1320.0,1280.0,2150.0,7.0,1.8181818181818181,540296.5735055795,3881900445,1,0
177,385000.0,3.0,1.0,1220.0,4800.0,1.0,1220.0,1200.0,4800.0,6.0,3.0,540296.5735055795,2254502445,1,0
178,269950.0,3.0,1.5,1950.0,7560.0,1.0,1320.0,1950.0,8941.0,7.0,2.0,540296.5735055795,5437810320,0,0
179,330000.0,2.0,1.0,1350.0,8220.0,1.0,1060.0,1540.0,8280.0,7.0,2.0,540296.5735055795,9158100075,1,0
180,260000.0,3.0,2.5,1670.0,5797.0,2.0,1670.0,1670.0,6183.0,7.0,1.2,540296.5735055795,3830630310,0,0
181,470000.0,4.0,3.0,2380.0,5125.0,1.5,1680.0,1410.0,5375.0,7.0,1.3333333333333333,540296.5735055795,8123100045,1,0
182,589000.0,4.0,3.0,2440.0,9600.0,2.0,2440.0,2290.0,9600.0,7.0,1.3333333333333333,540296.5735055795,3127200041,0,0
183,163500.0,2.0,1.5,1050.0,3419.0,2.0,1050.0,1050.0,3417.0,7.0,1.3333333333333333,540296.5735055795,6661200320,0,0
184,835000.0,4.0,2.75,3130.0,13412.0,2.0,2140.0,2260.0,9984.0,9.0,1.4545454545454546,540296.5735055795,11510310,0,0
185,1100000.0,5.0,3.0,4090.0,12850.0,1.0,2090.0,2540.0,10270.0,10.0,1.6666666666666667,540296.5735055795,825059270,0,0
186,269000.0,4.0,1.75,1490.0,10000.0,1.0,1100.0,2190.0,8910.0,8.0,2.2857142857142856,540296.5735055795,8731951370,0,0
187,560000.0,3.0,2.5,1900.0,8744.0,2.0,1900.0,2030.0,8744.0,8.0,1.2,540296.5735055795,1954440060,0,0
189,585188.0,3.0,2.25,2230.0,10026.0,1.0,1430.0,2230.0,9340.0,8.0,1.3333333333333333,540296.5735055795,1115810060,0,0
190,305000.0,3.0,1.75,1650.0,9480.0,1.0,1220.0,1540.0,8400.0,7.0,1.7142857142857142,540296.5735055795,9477200200,0,0
191,166950.0,3.0,1.0,1190.0,8820.0,1.0,1190.0,1230.0,7980.0,6.0,3.0,540296.5735055795,1432600560,0,0
192,799000.0,3.0,2.5,2140.0,9897.0,1.0,2140.0,2680.0,10083.0,8.0,1.2,540296.5735055795,2287000060,0,0
193,400000.0,3.0,2.5,2180.0,7508.0,1.0,1420.0,1900.0,7818.0,7.0,1.2,540296.5735055795,3663500060,1,0
194,230000.0,3.0,1.0,1060.0,10228.0,1.0,1060.0,1570.0,10228.0,7.0,3.0,540296.5735055795,3996900125,1,0
195,256883.0,3.0,2.5,1690.0,5025.0,2.0,1690.0,2550.0,5001.0,8.0,1.2,540296.5735055795,7796450200,0,0
196,423000.0,4.0,2.0,1970.0,6480.0,1.5,1130.0,1500.0,6480.0,7.0,2.0,540296.5735055795,7549802535,1,0
197,465000.0,3.0,2.5,2150.0,4084.0,2.0,2150.0,1750.0,2385.0,8.0,1.2,540296.5735055795,3278600320,1,0
200,210000.0,3.0,1.0,860.0,11725.0,1.0,860.0,1300.0,9514.0,6.0,3.0,540296.5735055795,3542300060,0,0
201,297000.0,3.0,2.5,1940.0,14952.0,2.0,1940.0,2030.0,10450.0,8.0,1.2,540296.5735055795,2222059065,0,0
202,470000.0,3.0,1.0,1010.0,5000.0,1.0,1010.0,1680.0,5000.0,7.0,3.0,540296.5735055795,7551300060,1,0
203,226500.0,3.0,1.5,1300.0,7370.0,1.0,900.0,1430.0,7500.0,7.0,2.0,540296.5735055795,100600550,0,0
204,274250.0,3.0,1.0,910.0,8450.0,1.0,910.0,1400.0,8040.0,6.0,3.0,540296.5735055795,3211100860,0,0
205,840000.0,4.0,1.75,2480.0,11010.0,1.0,1630.0,2770.0,10744.0,9.0,2.2857142857142856,540296.5735055795,3456000310,0,0
206,677900.0,3.0,2.5,2440.0,4587.0,2.0,2440.0,2750.0,4587.0,8.0,1.2,540296.5735055795,9526600140,0,0
207,425000.0,3.0,1.0,1010.0,5864.0,1.0,1010.0,1290.0,5000.0,7.0,3.0,540296.5735055795,7465900060,0,0
208,180250.0,2.0,0.75,900.0,9600.0,1.0,900.0,1250.0,14280.0,6.0,2.6666666666666665,540296.5735055795,1222000055,0,0
209,464000.0,6.0,3.0,2300.0,3404.0,2.0,1600.0,1560.0,1312.0,7.0,2.0,540296.5735055795,6300000550,1,0
210,320000.0,4.0,2.25,1550.0,7579.0,2.0,1550.0,1630.0,6397.0,8.0,1.7777777777777777,540296.5735055795,2310030510,0,0
211,625504.0,3.0,2.25,1270.0,1566.0,2.0,1060.0,1160.0,1327.0,8.0,1.3333333333333333,540296.5735055795,1025049114,1,0
